No,Close
0,1258.13
1,1285.48
2,1286.68
3,1279.27
4,1255.83
5,1250.11
6,1208.34
7,1232.01
8,1237.54
9,1243.97
10,1245.7
11,1258.58
12,1242.51
13,1216.96
14,1207.94
15,1242.69
16,1252.83
17,1281.53
18,1274.54
19,1282.91
20,1263.19
21,1270.61
22,1273.5
23,1289.71
24,1288.32
25,1314.91
26,1292.99
27,1295.81
28,1288.99
29,1279.85
30,1264.43
31,1254.36
32,1215.45
33,1160.81
34,1250.97
35,1279.51
36,1301.53
37,1327.09
38,1303.94
39,1319.06
40,1315.49
41,1327.65
42,1313.62
43,1290.88
44,1321.9
45,1322.69
46,1299.27
47,1335.25
48,1349.05
49,1333.85
50,1327.83
51,1306.35
