No,Date,Close,MAX,Skala
0,1/1/2009,930,20000,0.0465
1,1/8/2009,830,20000,0.0415
2,1/15/2009,830,20000,0.0415
3,1/22/2009,870,20000,0.0435
4,1/29/2009,880,20000,0.044
5,2/5/2009,890,20000,0.0445
6,2/12/2009,940,20000,0.047
7,2/19/2009,900,20000,0.045
8,2/26/2009,880,20000,0.044
9,3/5/2009,870,20000,0.0435
10,3/12/2009,870,20000,0.0435
11,3/19/2009,900,20000,0.045
12,3/26/2009,880,20000,0.044
13,4/2/2009,890,20000,0.0445
14,4/9/2009,990,20000,0.0495
15,4/16/2009,1060,20000,0.053
16,4/23/2009,1110,20000,0.0555
17,4/30/2009,1140,20000,0.057
18,5/7/2009,1920,20000,0.096
19,5/14/2009,1710,20000,0.0855
20,5/21/2009,1660,20000,0.083
21,5/28/2009,1670,20000,0.0835
22,6/4/2009,2050,20000,0.1025
23,6/11/2009,1860,20000,0.093
24,6/18/2009,1740,20000,0.087
25,6/25/2009,1860,20000,0.093
26,7/2/2009,1750,20000,0.0875
27,7/9/2009,1710,20000,0.0855
28,7/16/2009,1750,20000,0.0875
29,7/23/2009,1770,20000,0.0885
30,7/30/2009,1840,20000,0.092
31,8/6/2009,1850,20000,0.0925
32,8/13/2009,1680,20000,0.084
33,8/20/2009,1830,20000,0.0915
34,8/27/2009,1670,20000,0.0835
35,9/3/2009,1730,20000,0.0865
36,9/10/2009,1760,20000,0.088
37,9/17/2009,1780,20000,0.089
38,9/24/2009,1820,20000,0.091
39,10/1/2009,1790,20000,0.0895
40,10/8/2009,1810,20000,0.0905
41,10/15/2009,1850,20000,0.0925
42,10/22/2009,1840,20000,0.092
43,10/29/2009,1740,20000,0.087
44,11/5/2009,1690,20000,0.0845
45,11/12/2009,1690,20000,0.0845
46,11/19/2009,1750,20000,0.0875
47,11/26/2009,1740,20000,0.087
48,12/3/2009,1760,20000,0.088
49,12/10/2009,1750,20000,0.0875
50,12/17/2009,1760,20000,0.088
51,12/24/2009,1740,20000,0.087
52,12/31/2009,1820,20000,0.091
53,1/7/2010,2125,20000,0.10625
54,1/14/2010,2125,20000,0.10625
55,1/21/2010,2100,20000,0.105
56,1/28/2010,2150,20000,0.1075
57,2/4/2010,2025,20000,0.10125
58,2/11/2010,2075,20000,0.10375
59,2/18/2010,2050,20000,0.1025
60,2/25/2010,2050,20000,0.1025
61,3/4/2010,2175,20000,0.10875
62,3/11/2010,2300,20000,0.115
63,3/18/2010,2300,20000,0.115
64,3/25/2010,2225,20000,0.11125
65,4/1/2010,2325,20000,0.11625
66,4/8/2010,2300,20000,0.115
67,4/15/2010,2400,20000,0.12
68,4/22/2010,2375,20000,0.11875
69,4/29/2010,2250,20000,0.1125
70,5/6/2010,2125,20000,0.10625
71,5/13/2010,1950,20000,0.0975
72,5/20/2010,1720,20000,0.086
73,5/27/2010,1790,20000,0.0895
74,6/3/2010,1730,20000,0.0865
75,6/10/2010,1720,20000,0.086
76,6/17/2010,1840,20000,0.092
77,6/24/2010,1850,20000,0.0925
78,7/1/2010,1780,20000,0.089
79,7/8/2010,1850,20000,0.0925
80,7/15/2010,1820,20000,0.091
81,7/22/2010,1690,20000,0.0845
82,7/29/2010,1830,20000,0.0915
83,8/5/2010,1790,20000,0.0895
84,8/12/2010,2075,20000,0.10375
85,8/19/2010,2050,20000,0.1025
86,8/26/2010,2100,20000,0.105
87,9/2/2010,2325,20000,0.11625
88,9/9/2010,2225,20000,0.11125
89,9/16/2010,2300,20000,0.115
90,9/23/2010,2325,20000,0.11625
91,9/30/2010,2200,20000,0.11
92,10/7/2010,2100,20000,0.105
93,10/14/2010,2125,20000,0.10625
94,10/21/2010,2075,20000,0.10375
95,10/28/2010,1930,20000,0.0965
96,11/4/2010,1970,20000,0.0985
97,11/11/2010,1840,20000,0.092
98,11/18/2010,1850,20000,0.0925
99,11/25/2010,1830,20000,0.0915
100,12/2/2010,1780,20000,0.089
101,12/9/2010,1740,20000,0.087
102,12/16/2010,1660,20000,0.083
103,12/23/2010,1630,20000,0.0815
104,12/30/2010,1730,20000,0.0865
105,1/6/2011,1690,20000,0.0845
106,1/13/2011,1670,20000,0.0835
107,1/20/2011,1620,20000,0.081
108,1/27/2011,1590,20000,0.0795
109,2/3/2011,1560,20000,0.078
